town,age,job,married,education,arrears,housing,target
Newport,33,blue-collar,married,primary,no,yes,no
Oxford,65,retired,married,primary,no,no,no
Southend-on-Sea,47,technician,divorced,tertiary,no,yes,no
Rochdale,59,unknown,married,tertiary,no,no,no
Gillingham,34,management,single,tertiary,no,yes,yes
Stevenage,29,technician,divorced,secondary,no,yes,no
Swansea,56,unemployed,divorced,secondary,no,yes,no
Bournemouth,35,admin.,divorced,secondary,no,no,no
Swansea,36,entrepreneur,married,tertiary,no,no,no
London,58,retired,married,secondary,no,no,no
Reading,51,services,single,secondary,no,yes,no
Hartlepool,36,blue-collar,married,secondary,no,yes,no
Bedford,55,management,divorced,tertiary,no,no,yes
Watford,48,blue-collar,married,secondary,no,yes,no
Edinburgh,46,self-employed,divorced,tertiary,no,yes,no
Oldham,56,services,married,secondary,no,no,no
Middlesbrough,37,services,divorced,secondary,no,no,no
Birmingham,26,student,single,tertiary,no,no,no
Worcester,28,blue-collar,single,secondary,no,yes,no
Weston-super-Mare,38,services,married,secondary,no,no,no
Birmingham,51,admin.,married,secondary,no,no,no
Liverpool,30,blue-collar,single,secondary,no,yes,no
Peterborough,35,admin.,single,tertiary,no,yes,no
Exeter,27,student,single,secondary,no,no,yes
Newcastle upon Tyne,45,blue-collar,married,primary,no,no,no
Norwich,42,admin.,married,secondary,no,yes,no
Swansea,40,admin.,married,secondary,no,no,no
Glasgow,29,unemployed,single,primary,no,no,no
Birmingham,45,management,married,tertiary,no,no,no
Glasgow,57,housemaid,divorced,primary,no,no,no
Bradford,25,technician,divorced,secondary,no,no,no
Swansea,47,blue-collar,divorced,primary,yes,yes,no
Birmingham,34,management,married,tertiary,no,yes,no
Exeter,59,blue-collar,married,secondary,no,no,no
Rochdale,39,management,married,secondary,no,no,yes
High Wycombe,32,services,married,secondary,no,yes,no
Newcastle upon Tyne,31,management,married,tertiary,no,no,no
Telford,53,admin.,married,secondary,no,no,yes
London,47,blue-collar,married,primary,no,yes,no
Huddersfield,52,blue-collar,divorced,secondary,no,no,no
Grimsby,42,admin.,divorced,secondary,no,yes,no
Cardiff,41,self-employed,single,tertiary,no,yes,no
London,30,blue-collar,single,secondary,no,no,no
Eastbourne,26,technician,single,secondary,no,no,no
Telford,26,technician,single,secondary,no,no,no
Exeter,52,blue-collar,married,unknown,no,no,no
Coventry,37,self-employed,married,tertiary,no,yes,no
London,45,admin.,single,secondary,no,no,no
Slough,36,technician,single,secondary,no,no,no
Sutton Coldfield,41,admin.,married,secondary,no,no,no
Woking,30,self-employed,married,tertiary,no,yes,no
Stevenage,44,management,divorced,tertiary,no,yes,no
Manchester,33,admin.,married,secondary,no,yes,no
Salford,42,services,married,secondary,no,yes,no
Rochdale,36,unemployed,married,tertiary,no,yes,no
Glasgow,56,blue-collar,divorced,primary,no,yes,no
Newport,57,housemaid,single,secondary,no,no,no
Liverpool,49,blue-collar,married,primary,yes,yes,no
Cheltenham,32,technician,single,tertiary,no,no,no
Glasgow,33,management,single,tertiary,no,no,yes
Stockport,52,management,married,secondary,no,no,no
Bristol,37,technician,married,secondary,yes,yes,no
Wigan,34,services,divorced,secondary,no,yes,no
Wakefield,29,admin.,single,secondary,no,no,no
Liverpool,44,services,married,secondary,no,no,no
Plymouth,31,entrepreneur,married,tertiary,no,yes,no
Northampton,33,self-employed,married,tertiary,no,yes,no
St Albans,37,management,married,tertiary,no,yes,no
Luton,32,entrepreneur,married,secondary,no,yes,no
Bournemouth,44,management,married,tertiary,no,yes,no
Peterborough,56,management,married,primary,no,yes,no
Kingston upon Hull,36,admin.,married,secondary,no,yes,no
Salford,58,technician,single,secondary,no,no,no
Birkenhead,47,technician,married,tertiary,no,yes,no
Glasgow,32,blue-collar,married,primary,no,yes,no
Huddersfield,41,management,married,tertiary,no,yes,no
Plymouth,30,services,married,secondary,no,no,no
Lincoln,39,services,single,secondary,no,yes,no
Chester,62,management,married,tertiary,no,no,yes
Weston-super-Mare,41,admin.,married,secondary,no,yes,no
Liverpool,30,admin.,single,tertiary,no,no,no
Kingston upon Hull,70,retired,married,primary,no,no,no
Bath,33,admin.,single,tertiary,no,no,yes
Preston,33,unemployed,single,tertiary,no,no,yes
St Helens,33,technician,single,secondary,no,yes,no
Chesterfield,48,technician,married,secondary,no,yes,no
Sheffield,30,services,married,secondary,no,yes,no
Portsmouth,51,blue-collar,divorced,secondary,no,yes,no
Huddersfield,35,technician,married,secondary,no,yes,no
Plymouth,39,services,married,secondary,no,yes,no
Swindon,33,technician,married,tertiary,no,yes,no
Birmingham,27,services,married,secondary,no,no,no
Liverpool,52,services,divorced,secondary,no,yes,no
Birmingham,39,technician,married,secondary,no,yes,no
Glasgow,46,unknown,single,primary,no,no,no
Liverpool,28,blue-collar,single,secondary,no,yes,yes
Liverpool,31,management,married,tertiary,no,no,no
Glasgow,51,blue-collar,married,primary,no,yes,no
Birkenhead,52,admin.,single,secondary,no,no,no
London,34,blue-collar,married,secondary,no,no,yes
Birmingham,32,blue-collar,married,primary,no,yes,no
County Down,45,management,single,tertiary,no,yes,yes
Weston-super-Mare,46,blue-collar,married,secondary,no,no,no
Birmingham,59,unemployed,married,secondary,no,no,yes
London,44,technician,divorced,secondary,no,yes,no
Eastbourne,49,management,married,tertiary,no,yes,yes
Nuneaton,37,blue-collar,married,secondary,no,yes,no
Derby,51,management,married,tertiary,no,yes,no
Newcastle upon Tyne,52,blue-collar,married,secondary,no,yes,no
Middlesbrough,61,management,married,secondary,no,no,no
Manchester,41,management,married,tertiary,no,no,no
Dundee,41,technician,married,secondary,no,yes,no
Hemel Hempstead,56,management,married,tertiary,no,no,no
Weston-super-Mare,29,blue-collar,married,secondary,no,yes,no
Lincoln,40,blue-collar,single,primary,no,yes,no
Swansea,40,technician,single,secondary,no,yes,no
Southend-on-Sea,41,technician,divorced,secondary,no,no,no
Stockport,36,services,married,secondary,no,no,no
Manchester,47,blue-collar,divorced,primary,no,yes,yes
Bristol,28,student,single,tertiary,no,no,yes
Sale,44,blue-collar,married,secondary,no,yes,no
Colchester,31,unemployed,single,primary,no,no,no
Bradford,51,management,married,tertiary,no,no,no
Leeds,39,blue-collar,married,primary,no,yes,no
Glasgow,40,services,married,secondary,no,yes,no
London,26,services,divorced,secondary,no,yes,no
Huddersfield,48,management,married,tertiary,no,no,no
Dundee,32,unemployed,single,tertiary,no,yes,no
Crawley,58,blue-collar,married,primary,no,yes,no
High Wycombe,38,admin.,single,tertiary,no,yes,no
Southampton,41,blue-collar,married,primary,no,yes,no
Eastbourne,53,entrepreneur,married,tertiary,no,no,no
Raleigh,33,blue-collar,married,primary,no,yes,no
Salford,26,management,single,tertiary,no,no,no
Bath,30,services,single,secondary,no,yes,no
Bath,39,services,divorced,secondary,no,yes,no
Edinburgh,36,unemployed,divorced,secondary,no,no,no
Leicester,54,blue-collar,married,primary,no,yes,no
Newcastle upon Tyne,27,blue-collar,single,secondary,no,no,yes
Swindon,29,housemaid,single,tertiary,no,no,yes
Coventry,50,technician,married,tertiary,no,no,no
Coventry,29,blue-collar,single,secondary,no,yes,no
Glasgow,44,services,single,secondary,no,no,yes
Birkenhead,32,management,single,tertiary,no,no,no
Huddersfield,51,technician,married,secondary,no,yes,yes
London,56,blue-collar,divorced,primary,no,no,no
Liverpool,28,management,married,tertiary,no,yes,no
Glasgow,53,management,married,tertiary,no,no,no
Worthing,39,blue-collar,married,secondary,no,yes,no
Bolton,45,blue-collar,married,secondary,no,no,no
Liverpool,47,management,divorced,tertiary,no,yes,no
Glasgow,40,management,divorced,tertiary,no,no,no
Bristol,55,retired,married,secondary,no,no,no
Newcastle upon Tyne,34,admin.,married,secondary,no,yes,no
Plymouth,36,admin.,married,unknown,no,no,no
Birmingham,29,technician,married,tertiary,no,yes,no
Maidstone,34,management,single,tertiary,no,yes,no
Milton Keynes,50,blue-collar,married,primary,no,yes,yes
Cambridge,50,technician,married,secondary,no,yes,no
Birmingham,37,management,divorced,tertiary,no,yes,no
St Helens,33,blue-collar,single,secondary,no,no,yes
Newcastle upon Tyne,26,services,single,tertiary,no,yes,no
Nottingham,31,unemployed,married,secondary,no,yes,yes
Liverpool,48,management,single,secondary,no,no,no
Belfast,43,blue-collar,married,secondary,no,no,no
London,26,technician,single,secondary,no,no,no
County Down,47,unemployed,single,primary,no,no,no
Solihull,72,admin.,married,primary,no,no,yes
London,42,management,divorced,secondary,no,yes,no
Birmingham,29,management,married,tertiary,no,no,no
Darlington,40,entrepreneur,married,primary,no,yes,no
Solihull,56,management,married,tertiary,no,no,no
Portsmouth,46,management,married,tertiary,no,no,no
Worthing,37,blue-collar,married,primary,no,yes,no
Warrington,49,technician,married,secondary,no,no,no
Bristol,37,housemaid,married,secondary,no,yes,no
Sale,51,blue-collar,married,unknown,no,no,no
Portsmouth,29,blue-collar,married,secondary,no,yes,no
Oxford,51,technician,single,secondary,no,yes,no
Watford,40,blue-collar,married,secondary,no,no,no
Peterborough,43,management,married,tertiary,no,no,no
Liverpool,57,retired,married,unknown,no,yes,no
Derby,43,entrepreneur,married,secondary,no,yes,yes
Poole,26,student,married,tertiary,no,no,no
Northampton,50,services,married,secondary,no,yes,no
Sutton Coldfield,30,self-employed,single,secondary,no,yes,no
Warrington,36,management,married,tertiary,no,yes,no
Edinburgh,52,services,divorced,secondary,no,yes,no
Wigan,54,technician,married,secondary,no,no,yes
Edinburgh,58,management,married,primary,no,yes,no
Glasgow,44,self-employed,single,secondary,no,yes,no
Reading,43,blue-collar,married,secondary,no,yes,no
Wolverhampton,34,technician,married,secondary,no,yes,no
Weston-super-Mare,33,management,single,tertiary,no,yes,yes
London,52,technician,married,unknown,no,yes,no
Bristol,60,retired,married,primary,no,no,no
Chelmsford,50,admin.,married,secondary,no,no,no
Darlington,54,admin.,married,secondary,no,no,no
Cardiff,47,management,married,tertiary,no,yes,no
Birmingham,27,management,single,tertiary,no,no,no
London,59,retired,married,primary,no,yes,yes
Kingston upon Hull,30,management,single,tertiary,no,yes,no
Solihull,35,management,married,tertiary,no,yes,no
Hartlepool,58,management,married,tertiary,no,no,no
Leeds,43,blue-collar,married,primary,no,yes,no
Raleigh,42,admin.,married,secondary,no,no,no
Norwich,30,blue-collar,married,primary,no,yes,no
St Albans,47,technician,single,secondary,no,no,no
Glasgow,27,services,married,primary,no,yes,no
Grimsby,42,management,married,unknown,no,no,no
Bournemouth,46,management,divorced,tertiary,no,no,no
St Albans,40,management,married,tertiary,no,yes,no
London,48,entrepreneur,married,secondary,no,no,no
Newcastle upon Tyne,32,management,married,tertiary,no,yes,yes
Gateshead,42,technician,single,tertiary,no,no,yes
Southport,35,management,single,tertiary,no,no,yes
London,31,student,single,tertiary,no,yes,no
Cardiff,32,technician,single,secondary,no,yes,no
Exeter,30,management,married,tertiary,no,no,no
Milton Keynes,35,management,single,tertiary,no,yes,no
Slough,43,blue-collar,married,primary,no,no,no
Blackburn,46,services,divorced,secondary,no,yes,no
Belfast,30,technician,single,tertiary,no,yes,no
London,51,blue-collar,married,secondary,no,yes,no
Gloucester,45,management,married,tertiary,no,no,no
Birmingham,42,admin.,married,secondary,no,yes,no
Manchester,44,self-employed,single,tertiary,no,yes,yes
London,54,unknown,married,secondary,no,no,yes
Kingston upon Hull,27,admin.,married,secondary,no,yes,no
Bedford,28,management,divorced,tertiary,no,yes,yes
Watford,30,self-employed,single,tertiary,no,no,yes
Watford,29,management,single,tertiary,no,no,yes
Liverpool,54,retired,married,secondary,no,no,no
Manchester,27,services,divorced,secondary,no,yes,no
Cambridge,52,self-employed,married,tertiary,no,yes,no
Plymouth,34,blue-collar,single,secondary,no,yes,no
Preston,55,unemployed,married,secondary,no,yes,no
Warrington,32,blue-collar,married,secondary,no,yes,no
Nottingham,38,management,single,tertiary,no,no,no
Coventry,39,technician,married,secondary,no,no,no
Liverpool,46,blue-collar,married,primary,no,no,no
Blackpool,41,blue-collar,single,secondary,no,no,no
Blackburn,24,blue-collar,single,secondary,no,yes,no
Bristol,32,technician,married,tertiary,no,yes,no
London,59,retired,married,secondary,no,yes,no
Birmingham,53,blue-collar,married,primary,no,no,no
Gateshead,47,technician,divorced,unknown,no,yes,no
Poole,29,management,married,tertiary,no,yes,no
Brighton,28,services,single,secondary,no,yes,no
Stevenage,53,blue-collar,single,secondary,no,no,no
Raleigh,23,entrepreneur,married,tertiary,no,no,no
Cambridge,33,management,married,secondary,no,yes,no
Gillingham,52,entrepreneur,married,tertiary,no,no,no
Barnsley,26,management,single,tertiary,no,yes,no
Raleigh,52,technician,married,secondary,no,yes,no
Manchester,45,blue-collar,married,secondary,no,yes,no
Crawley,42,blue-collar,married,secondary,no,no,no
Darlington,36,management,single,tertiary,no,no,no
Leicester,45,management,married,tertiary,no,no,no
Crawley,24,services,married,secondary,no,yes,no
Birmingham,46,management,married,tertiary,no,no,yes
Wolverhampton,29,entrepreneur,single,tertiary,no,no,no
Sale,35,technician,married,secondary,no,no,no
County Down,37,management,married,tertiary,no,yes,no
Worthing,44,services,married,secondary,no,yes,no
Sutton Coldfield,25,blue-collar,married,secondary,no,yes,no
Reading,52,blue-collar,married,primary,no,no,no
Sheffield,38,entrepreneur,single,tertiary,yes,yes,no
Glasgow,41,entrepreneur,divorced,secondary,no,yes,no
Wolverhampton,44,blue-collar,married,secondary,no,no,no
Ipswich,58,retired,married,secondary,no,no,no
Gateshead,41,entrepreneur,married,tertiary,no,yes,no
Liverpool,38,blue-collar,married,secondary,no,yes,no
Plymouth,34,unemployed,married,primary,no,no,yes
Glasgow,67,retired,married,primary,no,no,no
Aberdeen,56,retired,married,primary,no,no,no
Salford,41,services,married,primary,no,yes,no
Huddersfield,33,management,married,tertiary,no,no,no
Dundee,40,self-employed,married,tertiary,no,no,no
Bristol,45,management,married,tertiary,no,no,no
London,47,housemaid,divorced,primary,no,no,no
Birkenhead,35,self-employed,married,secondary,no,no,no
Hastings,46,technician,divorced,secondary,no,yes,yes
Bristol,33,blue-collar,married,secondary,no,yes,no
Slough,41,blue-collar,married,primary,no,yes,no
Coventry,46,technician,single,tertiary,no,no,no
St Albans,33,management,married,tertiary,no,yes,no
Milton Keynes,20,student,single,primary,no,no,no
Hemel Hempstead,60,housemaid,married,secondary,no,no,no
London,40,management,married,primary,no,yes,no
Eastbourne,51,management,married,tertiary,no,no,yes
Basildon,47,management,married,tertiary,no,no,yes
Cheltenham,45,blue-collar,married,secondary,no,no,no
Swansea,55,technician,married,secondary,no,yes,yes
Liverpool,27,blue-collar,single,primary,no,no,no
Oldham,29,admin.,single,secondary,no,yes,no
St Albans,42,blue-collar,married,secondary,no,yes,no
Leicester,44,unemployed,married,secondary,no,yes,yes
Colchester,40,self-employed,married,secondary,yes,yes,yes
Stevenage,57,self-employed,single,primary,no,yes,no
County Down,50,entrepreneur,married,primary,yes,yes,no
London,44,management,single,secondary,no,no,no
Colchester,49,housemaid,married,primary,no,no,no
London,32,management,single,tertiary,no,yes,no
Wakefield,40,blue-collar,married,primary,no,yes,no
Worthing,60,unemployed,divorced,secondary,no,no,no
Sale,36,admin.,married,secondary,no,yes,no
London,49,technician,married,primary,no,no,no
Cheltenham,37,management,married,tertiary,no,yes,no
